3625.9,-5.95e+05,1.1564
3793.6,-5.9533e+05,1.0417
3782.4,-5.9561e+05,0.97258
3726.5,-5.9597e+05,0.94724
3804.8,-5.963e+05,0.96473
3737.7,-5.9671e+05,1.0079
3972.4,-5.969e+05,1.0491
4374.7,-5.9671e+05,1.0572
4598.2,-5.9689e+05,1.0279
4419.4,-5.9728e+05,0.97157
4240.6,-5.9768e+05,0.90723
4017.1,-5.9798e+05,0.8476
4184.7,-5.9823e+05,0.80455
4441.8,-5.9853e+05,0.78793
4385.9,-5.9891e+05,0.7987
4520,-5.9916e+05,0.82813
4609.4,-5.9945e+05,0.86565
4587.1,-5.9975e+05,0.91337
4866.5,-6.0005e+05,0.95804
5112.3,-6.0032e+05,0.98955
4955.9,-6.0059e+05,0.98483
5067.6,-6.0098e+05,0.96802
5347,-6.0136e+05,0.96068
5537,-6.016e+05,0.98906
5537,-6.0193e+05,1.0419
5637.6,-6.023e+05,1.1007
6006.4,-6.0253e+05,1.1387
6040,-6.0285e+05,1.1503
6330.5,-6.0319e+05,1.1426
6621.1,-6.0344e+05,1.1366
6554.1,-6.0374e+05,1.1314
6274.7,-6.0396e+05,1.1156
6565.2,-6.0427e+05,1.077
6632.3,-6.0464e+05,1.0267
6721.7,-6.0501e+05,0.98177
7034.6,-6.0501e+05,0.9525
7179.9,-6.0525e+05,0.93688
7179.9,-6.0558e+05,0.9332
7425.8,-6.0585e+05,0.94401
7850.5,-6.0592e+05,0.97046
8062.8,-6.0618e+05,1.0121
8286.3,-6.064e+05,1.073
8728.8,-6.0654e+05,1.1381
8993.4,-6.0666e+05,1.1961
9183.9,-6.0691e+05,1.2249
9173.3,-6.072e+05,1.2341
8951.1,-6.0743e+05,1.2298
8781.7,-6.0767e+05,1.2256
8707.6,-6.0797e+05,1.2273
8728.8,-6.0825e+05,1.2287
8686.5,-6.0855e+05,1.2127
8633.6,-6.0883e+05,1.1636
8421.9,-6.0911e+05,1.0829
8062.1,-6.0921e+05,0.98511
7755.1,-6.0939e+05,0.88973
7596.4,-6.0967e+05,0.81663
7585.8,-6.0994e+05,0.78173
7744.6,-6.1016e+05,0.78099
8062.1,-6.0997e+05,0.80105
8358.4,-6.0993e+05,0.82744
8527.7,-6.1023e+05,0.86809
8548.9,-6.1056e+05,0.9344
8485.4,-6.109e+05,1.0104
8369,-6.1118e+05,1.0561
8178.5,-6.1141e+05,1.0334
7935.1,-6.1175e+05,0.95906
7659.9,-6.1218e+05,0.87227
7353,-6.125e+05,0.80395
6919.1,-6.1241e+05,0.75681
6591,-6.1229e+05,0.72692
6559.2,-6.1258e+05,0.7184
6337,-6.1278e+05,0.72596
5998.3,-6.125e+05,0.74051
5723.1,-6.1264e+05,0.7571
5500.9,-6.1278e+05,0.78985
5246.9,-6.1283e+05,0.84937
5257.5,-6.1313e+05,0.92512
5331.6,-6.1345e+05,1.0025
4873.9,-6.1361e+05,1.0668
4460.4,-6.138e+05,1.133
4304,-6.141e+05,1.1914
4527.5,-6.1435e+05,1.2353
4862.8,-6.1442e+05,1.2492
5164.5,-6.1471e+05,1.2412
5332.1,-6.1506e+05,1.2192
5578,-6.1529e+05,1.1849
5835.1,-6.1549e+05,1.1458
6170.3,-6.1551e+05,1.1286
6539.2,-6.1558e+05,1.155
6785,-6.1582e+05,1.2181
6874.4,-6.161e+05,1.2835
7030.9,-6.1634e+05,1.3286
7455.6,-6.1651e+05,1.359
7746.2,-6.1671e+05,1.3822
8092.6,-6.1693e+05,1.396
8360.8,-6.1718e+05,1.3948
8372,-6.175e+05,1.3767
8204.4,-6.179e+05,1.3409
8159.7,-6.1827e+05,1.2858
8405.6,-6.1859e+05,1.2401
8629.1,-6.1884e+05,1.2276
8897.3,-6.1918e+05,1.2477
9098.5,-6.1951e+05,1.2701
9210.2,-6.1983e+05,1.2669
8953.2,-6.2013e+05,1.2427
8707.3,-6.2047e+05,1.1933
8595.5,-6.2075e+05,1.128
8394.4,-6.2108e+05,1.0459
8036.7,-6.2112e+05,0.97243
